Average hand positions in 3D per letter
========================================

[A]
landmark,x,y,z
12,-0.005328,-0.939518,-0.302680
13,-0.001307,-0.393594,-0.048872
14,-0.006214,-0.461408,-0.205365
15,-0.004649,-0.282838,-0.236522
16,-0.002462,-0.176945,-0.211192
17,-0.005181,-0.343662,-0.023190
18,-0.008656,-0.367094,-0.159446
19,-0.007540,-0.235652,-0.177920
20,-0.005230,-0.164836,-0.157064

[L]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.015025,-0.091038,-0.307498
2,0.028841,-0.297727,-0.482182
3,0.042797,-0.464521,-0.625426
4,0.055039,-0.556522,-0.764148
5,0.020634,-0.956892,-0.315861
6,0.024569,-1.450864,-0.500570
7,0.024991,-1.789854,-0.609476
8,0.025219,-2.057545,-0.684089
9,0.009741,-0.976546,-0.249768
10,0.004901,-1.287453,-0.521780
11,0.004567,-0.963541,-0.560011
12,0.007015,-0.716645,-0.518005
13,-0.000370,-0.917548,-0.213436
14,-0.005169,-1.120893,-0.488550
15,-0.002875,-0.808910,-0.446086
16,0.001303,-0.610190,-0.342588
17,-0.009198,-0.832162,-0.201755
18,-0.012868,-0.983435,-0.400499
19,-0.010445,-0.751936,-0.375769
20,-0.006055,-0.598991,-0.304425

[M]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.015128,-0.284196,-0.354323
2,0.025232,-0.787309,-0.478195
3,0.018684,-1.153954,-0.556256
4,0.009035,-1.301168,-0.575783
5,0.016876,-1.271237,-0.217751
6,0.011922,-1.602643,-0.600235
7,0.009864,-1.173586,-0.772084
8,0.011479,-0.880957,-0.808776
9,0.003941,-1.233930,-0.135328
10,-0.000980,-1.589169,-0.564776
11,-0.000649,-1.042121,-0.643649
12,0.004092,-0.799766,-0.572278
13,-0.006753,-1.174557,-0.118671
14,-0.012610,-1.462457,-0.519558
15,-0.010234,-0.958179,-0.455922
16,-0.004022,-0.743073,-0.287173
17,-0.017076,-1.088039,-0.130573
18,-0.020695,-1.285868,-0.360186
19,-0.018001,-0.935320,-0.299795
20,-0.012592,-0.768834,-0.175542

[N]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.016000,-0.331971,-0.302238
2,0.018332,-0.730405,-0.444678
3,0.001495,-1.021847,-0.553600
4,-0.012749,-1.212798,-0.626734
5,0.018213,-1.043639,-0.208297
6,0.014535,-1.293909,-0.553862
7,0.009906,-0.982640,-0.747073
8,0.009221,-0.709365,-0.815545
9,0.001570,-1.000412,-0.155756
10,-0.003128,-1.330775,-0.570747
11,-0.003740,-0.978721,-0.722661
12,-0.000042,-0.684032,-0.715357
13,-0.013298,-0.925669,-0.151788
